date,narrative
2006-10-01 00:00:00,"RP, A DPS STAFF MEMBER, REPORTED OBSERVING GRAFFITI ON WEST SIDE OF WHIG HALL.  UNIT DISPATCHED.  REPORT FILED; INVESTIGATION TO CONTINUE. "
2006-10-01 00:00:00,"RP, A PRINCETON UNIVERSITY STUDENT, REPORTED A STUDENT FELL FROM HIS CHAIR AND APPEARED UNCONSCIOUS.  UNITS DISPATCHED.  PFARS DISPATCHED AND TRANSPORTED THE INDIVIDUAL TO CAPITAL HEATH SYSTEMS AT FULD HOSPITAL TRAMA CENTER.  REPORT FILED; CASE REFERRED. "
2006-10-02 00:00:00,"RP, A PRINCETON UNIVERSITY FACULTY MEMBER, REPORTED A STUDENT ON THE SECOND FLOOR MAY BE SUFFERING A SEIZURE.  UNITS DISPATCHED.  OFFICER REPORTED INDIVIDUAL WAS CHOKING AND THE ITEM WAS DISLODGED PRIOR TO DPS ARRIVAL.  STUDENT REFUSED MEDICAL ATTENTION.  REPORT FILED; CASE REFERRED. "
2006-10-02 00:00:00,"RP, A PRINCETON UNIVERSITY STUDENT, REPORTED AN OFFENSIVE WORD WRITTEN ON THE WALL NEXT TO THEIR ROOM DOOR.  UNIT DISPATCHED.  THE OFFENSIVE WORD WAS WRITTEN IN RED MARKER.  A WORK ORDER WAS SUBMITTED TO HAVE THE WORD REMOVED.  REPORT FILED; INVESTIGATION TO CONTINUE. "
2006-10-02 00:00:00,"RP, A PRINCETON UNIVERSITY STUDENT, REPORTED A STUDENT WHO WAS ILL AND IN NEED OF MEDICAL ASSISTANCE.  UNITS DISPATCHED.  PFARS DISPATCHED AND TRANSPORTED THE STUDENT TO UMCP.  REPORT FILED; CASE REFERRED. "
2006-10-02 00:00:00,"RP, A PRINCETON UNIVERSITY STAFF MEMBER, REPORTED THE THEFT OF COPPER WIRING FROM THE CONSTRUCTION SITE BETWEEN 9/30/06 AND 10/2/06.  UNIT DISPATCHED.  NO SUSPECTS DEVELOPED.  REPORT FILED; INVESTIGATION TO CONTINUE. "
2006-10-03 00:00:00,"RP, A DPS STAFF MEMBER, REPORTED RED SPRAY PAINTED GRAFFITI, WITH OBSCENITIES, ON THE WEST SIDE OF WHIG HALL, AS WELL AS THE TIGER STATUES BETWEEN WHIG AND CLIO.  PAINT SHOP NOTIFIED TO MAKE REPAIRS AS SOON AS POSSIBLE.  REPORT FILED; CASE REFERRED. "
2006-10-03 00:00:00,"RP, A PRINCETON UNIVERSITY STUDENT, REPORTED THAT HE LOST HIS BACKPACK.   INVESTIGATION REVEALED THAT THE STUDENT PLACED HIS BAG IN THE ROCKFELLER COMMON ROOM ON 09/29/06.  RP DID NOT REALIZE HIS BACKPACK WAS MISSING UNTIL 09/30/06.  REPORT FILED. "
2006-10-04 00:00:00,"RP, A PRINCETON UNIVERSITY STAFF MEMBER,  REPORTED THE  FRAUDULENT USE OF TWO UNIVERSITY CHECKS IN NEW YORK.  UNIT DISPATCHED.  NO SUSPECTS DEVELOPED.  REPORT FILED; CASE REFERRED. "
2006-10-04 00:00:00,"RP, A PRINCETON UNIVERSITY STAFF MEMBER, REPORTED AN INDIVIDUAL TRIPPED & FELL.  UNITS DISPATCHED.  INDIVIDUAL SCRAPED HER LEFT HAND & RIGHT KNEE.  DPS TRANSPORTED THE INDIVIDUAL TO UHS.  REPORT FILED; CASE REFERRED. "
2006-10-04 00:00:00,"RP, A PRINCETON UNIVERSITY STUDENT, REPORTED A STAFF MEMBER ON A BICYCLE STRUCK HER CAR.  UNITS DISPATCHED.  PFARS RESPONDED AND TRANSPORTED THE BICYCLIST TO UMCP WITH POSSIBLE INJURIES TO THE HEAD, SHOULDER, WRIST.  REPORT FILED; CASE REFERRED. "
